05/30/2019 23:00:06 PM - INFO - 持仓,操作日期,2011-04-26,股票名称,股票具体名称,当前价格,价格,今日指标,指标,ROE,roe,PE,pe,所属板块,板块
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-12,股票名称,浙江医药,当前价格,17.9701698,今日指标,-5.23460996666666,ROE,40.630113333333334,PE,13.898401,所属板块,医药生物
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-12,股票名称,新和成,当前价格,10.0407048,今日指标,-24.477339288888878,ROE,42.464111111111116,PE,20.285288,所属板块,医药生物
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-12,股票名称,四川双马,当前价格,13.118482284999999,今日指标,-190.8426924888889,ROE,34.498111111111115,PE,68.285092,所属板块,建筑材料
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-22,股票名称,闻泰科技,当前价格,11.182659359999999,今日指标,-2.6774853222222106,ROE,72.08799777777779,PE,22.656207,所属板块,电子
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-22,股票名称,浙江医药,当前价格,17.60878622,今日指标,-7.60893686666666,ROE,40.630113333333334,PE,14.617894,所属板块,医药生物
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-22,股票名称,新和成,当前价格,10.2962564,今日指标,-28.331808588888883,ROE,42.464111111111116,PE,21.453309,所属板块,医药生物
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-22,股票名称,四川双马,当前价格,13.952263219999999,今日指标,-719.0207538888887,ROE,34.498111111111115,PE,228.33905,所属板块,建筑材料
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-05-12,股票名称,闻泰科技,当前价格,10.0683908,今日指标,-163.56828726666663,ROE,10.787153333333336,PE,52.834982,所属板块,电子
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-05-12,股票名称,浙江医药,当前价格,18.14838636,今日指标,-18.849403366666664,ROE,28.122793333333334,PE,14.233999,所属板块,医药生物
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-05-12,股票名称,新和成,当前价格,10.52872592,今日指标,-41.42216629999999,ROE,24.3241,PE,19.923111,所属板块,医药生物
