code,code_name,industry,industryClassification
sz.300347,泰格医药,医药生物,申万一级行业
sz.300348,长亮科技,计算机,申万一级行业
sz.300349,金卡智能,机械设备,申万一级行业
sz.300350,华鹏飞,交通运输,申万一级行业
sz.300351,永贵电器,机械设备,申万一级行业
sz.300352,北信源,计算机,申万一级行业
sz.300353,东土科技,通信,申万一级行业
sz.300354,东华测试,机械设备,申万一级行业
sz.300355,蒙草生态,建筑装饰,申万一级行业
sz.300356,光一科技,电气设备,申万一级行业
sz.300357,我武生物,医药生物,申万一级行业
sz.300358,楚天科技,医药生物,申万一级行业
sz.300359,全通教育,传媒,申万一级行业
sz.300360,炬华科技,电气设备,申万一级行业
sz.300362,天翔环境,机械设备,申万一级行业
sz.300363,博腾股份,医药生物,申万一级行业
sz.300364,中文在线,传媒,申万一级行业
sz.300365,恒华科技,计算机,申万一级行业
sz.300366,创意信息,计算机,申万一级行业
sz.300367,东方网力,计算机,申万一级行业
sz.300368,汇金股份,计算机,申万一级行业
sz.300369,绿盟科技,计算机,申万一级行业
sz.300370,安控科技,机械设备,申万一级行业
sz.300371,汇中股份,机械设备,申万一级行业
sz.300373,扬杰科技,电子,申万一级行业
sz.300374,恒通科技,建筑材料,申万一级行业
sz.300375,鹏翎股份,汽车,申万一级行业
sz.300376,易事特,电气设备,申万一级行业
sz.300377,赢时胜,计算机,申万一级行业
sz.300378,鼎捷软件,计算机,申万一级行业
sz.300379,东方通,计算机,申万一级行业
sz.300380,安硕信息,计算机,申万一级行业
sz.300381,溢多利,医药生物,申万一级行业
sz.300382,斯莱克,机械设备,申万一级行业
sz.300383,光环新网,通信,申万一级行业
sz.300384,三联虹普,化工,申万一级行业
sz.300385,雪浪环境,机械设备,申万一级行业
sz.300386,飞天诚信,计算机,申万一级行业
sz.300387,富邦股份,化工,申万一级行业
sz.300388,国祯环保,公用事业,申万一级行业
sz.300389,艾比森,电子,申万一级行业
sz.300390,天华超净,电子,申万一级行业
sz.300391,康跃科技,机械设备,申万一级行业
sz.300392,腾信股份,传媒,申万一级行业
sz.300393,中来股份,电气设备,申万一级行业
sz.300394,天孚通信,通信,申万一级行业
sz.300395,菲利华,有色金属,申万一级行业
sz.300396,迪瑞医疗,医药生物,申万一级行业
sz.300397,天和防务,国防军工,申万一级行业
sz.300398,飞凯材料,化工,申万一级行业
sz.300399,京天利,计算机,申万一级行业
sz.300400,劲拓股份,机械设备,申万一级行业
sz.300401,花园生物,医药生物,申万一级行业
sz.300402,宝色股份,机械设备,申万一级行业
sz.300403,汉宇集团,家用电器,申万一级行业
sz.300404,博济医药,医药生物,申万一级行业
sz.300405,科隆股份,化工,申万一级行业
sz.300406,九强生物,医药生物,申万一级行业
sz.300407,凯发电气,电气设备,申万一级行业
sz.300408,三环集团,电子,申万一级行业
sz.300409,道氏技术,化工,申万一级行业
sz.300410,正业科技,机械设备,申万一级行业
sz.300411,金盾股份,机械设备,申万一级行业
sz.300412,迦南科技,医药生物,申万一级行业
sz.300413,芒果超媒,商业贸易,申万一级行业
sz.300414,中光防雷,通信,申万一级行业
sz.300415,伊之密,机械设备,申万一级行业
sz.300416,苏试试验,机械设备,申万一级行业
sz.300417,南华仪器,机械设备,申万一级行业
sz.300418,昆仑万维,传媒,申万一级行业
sz.300419,浩丰科技,计算机,申万一级行业
sz.300420,五洋停车,机械设备,申万一级行业
sz.300421,力星股份,机械设备,申万一级行业
sz.300422,博世科,公用事业,申万一级行业
sz.300423,鲁亿通,电气设备,申万一级行业
sz.300424,航新科技,国防军工,申万一级行业
sz.300425,环能科技,公用事业,申万一级行业
sz.300426,唐德影视,传媒,申万一级行业
sz.300427,红相股份,电气设备,申万一级行业
sz.300428,四通新材,有色金属,申万一级行业
sz.300429,强力新材,化工,申万一级行业
sz.300430,诚益通,机械设备,申万一级行业
sz.300431,暴风集团,传媒,申万一级行业
sz.300432,富临精工,汽车,申万一级行业
sz.300433,蓝思科技,电子,申万一级行业
sz.300434,金石东方,医药生物,申万一级行业
sz.300435,中泰股份,机械设备,申万一级行业
sz.300436,广生堂,医药生物,申万一级行业
sz.300437,清水源,化工,申万一级行业
sz.300438,鹏辉能源,电子,申万一级行业
sz.300439,美康生物,医药生物,申万一级行业
sz.300440,运达科技,计算机,申万一级行业
sz.300441,鲍斯股份,机械设备,申万一级行业
sz.300442,普丽盛,机械设备,申万一级行业
sz.300443,金雷股份,电气设备,申万一级行业
sz.300444,双杰电气,电气设备,申万一级行业
sz.300445,康斯特,机械设备,申万一级行业
sz.300446,乐凯新材,化工,申万一级行业
sz.300447,全信股份,电气设备,申万一级行业
sz.300448,浩云科技,计算机,申万一级行业
sz.300449,汉邦高科,计算机,申万一级行业
sz.300450,先导智能,机械设备,申万一级行业
sz.300451,创业慧康,计算机,申万一级行业
sz.300452,山河药辅,医药生物,申万一级行业
sz.300453,三鑫医疗,医药生物,申万一级行业
sz.300454,深信服,计算机,申万一级行业
sz.300455,康拓红外,计算机,申万一级行业
sz.300456,耐威科技,国防军工,申万一级行业
sz.300457,赢合科技,机械设备,申万一级行业
sz.300458,全志科技,电子,申万一级行业
sz.300459,金科文化,传媒,申万一级行业
sz.300460,惠伦晶体,电子,申万一级行业
sz.300461,田中精机,机械设备,申万一级行业
sz.300462,华铭智能,计算机,申万一级行业
sz.300463,迈克生物,医药生物,申万一级行业
sz.300464,星徽精密,机械设备,申万一级行业
sz.300465,高伟达,计算机,申万一级行业
sz.300466,赛摩电气,电气设备,申万一级行业
sz.300467,迅游科技,传媒,申万一级行业
sz.300468,四方精创,计算机,申万一级行业
sz.300469,信息发展,计算机,申万一级行业
sz.300470,日机密封,机械设备,申万一级行业
sz.300471,厚普股份,机械设备,申万一级行业
sz.300472,新元科技,机械设备,申万一级行业
sz.300473,德尔股份,汽车,申万一级行业
sz.300474,景嘉微,国防军工,申万一级行业
sz.300475,聚隆科技,家用电器,申万一级行业
sz.300476,胜宏科技,电子,申万一级行业
sz.300477,合纵科技,电气设备,申万一级行业
sz.300478,杭州高新,化工,申万一级行业
sz.300479,神思电子,计算机,申万一级行业
sz.300480,光力科技,机械设备,申万一级行业
sz.300481,濮阳惠成,化工,申万一级行业
sz.300482,万孚生物,医药生物,申万一级行业
sz.300483,沃施股份,机械设备,申万一级行业
sz.300484,蓝海华腾,电气设备,申万一级行业
sz.300485,赛升药业,医药生物,申万一级行业
sz.300486,东杰智能,机械设备,申万一级行业
sz.300487,蓝晓科技,化工,申万一级行业
sz.300488,恒锋工具,机械设备,申万一级行业
sz.300489,中飞股份,有色金属,申万一级行业
sz.300490,华自科技,电气设备,申万一级行业
sz.300491,通合科技,电气设备,申万一级行业
sz.300492,山鼎设计,建筑装饰,申万一级行业
sz.300493,润欣科技,电子,申万一级行业
sz.300494,盛天网络,传媒,申万一级行业
sz.300495,美尚生态,建筑装饰,申万一级行业
sz.300496,中科创达,计算机,申万一级行业
sz.300497,富祥股份,医药生物,申万一级行业
sz.300498,温氏股份,农林牧渔,申万一级行业
sz.300499,高澜股份,机械设备,申万一级行业
sz.300500,启迪设计,建筑装饰,申万一级行业
sz.300501,海顺新材,轻工制造,申万一级行业
sz.300502,新易盛,通信,申万一级行业
sz.300503,昊志机电,机械设备,申万一级行业
sz.300504,天邑股份,通信,申万一级行业
sz.300505,川金诺,化工,申万一级行业
