date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2019-04-02,sh.600251,40.1915242400,51.679733,2.416094,2.248306,13.116030
2019-04-02,sh.600252,96.1823885400,21.359165,2.063340,4.043877,32.575504
2019-04-02,sh.600255,27.4045214200,30.122056,1.319644,0.804222,-58.668586
2019-04-02,sh.600256,147.2288925900,17.259546,1.985143,2.332300,145.878911
2019-04-02,sh.600257,34.1476260300,154.510069,2.095796,2.549898,-105.267386
2019-04-02,sh.600258,43.1982780000,25.527518,2.784569,2.657025,-66.278558
2019-04-02,sh.600260,74.1064099500,16.039111,3.100392,1.085397,-49.062904
2019-04-02,sh.600261,54.0325064400,15.955388,1.718137,1.052611,-11.834114
2019-04-02,sh.600262,27.1006349900,40.489318,3.515616,2.835552,-44.379886
2019-04-02,sh.600266,31.0743250800,10.176227,0.887707,1.142974,-4.758733
2019-04-02,sh.600267,63.3398105600,754.106658,1.758081,1.151076,-32.166999
2019-04-02,sh.600268,43.4376627000,107.470939,2.410306,1.137844,24.327760
2019-04-02,sh.600269,42.6895266100,9.214043,0.725280,2.388557,-18.878480
2019-04-02,sh.600271,435.8421468000,33.946583,5.145453,1.965834,-133.069621
2019-04-02,sh.600272,9.9040562000,64.828848,4.611031,2.602872,-1794.489447
2019-04-02,sh.600273,16.0519086000,17.945297,3.018473,3.523173,-26.454309
2019-04-02,sh.600275,6.6065580000,63.439156,11.445142,66.600894,31.919932
2019-04-02,sh.600276,2316.5220979200,71.019038,14.635699,16.576951,-729.307416
2019-04-02,sh.600277,23.5483705300,30.152263,1.434041,1.255190,179.775441
2019-04-02,sh.600278,26.6811269400,58.777544,2.430997,0.532497,-78.474562
2019-04-02,sh.600279,11.6870364000,33.047286,1.241483,0.705302,-11.921972
2019-04-02,sh.600280,45.9232573800,132.247574,2.802381,0.667085,17.875731
2019-04-02,sh.600282,18.9966076800,4.680242,1.219804,0.429798,57.273573
2019-04-02,sh.600283,17.4441815000,50.551918,2.685224,4.905311,47.102040
2019-04-02,sh.600284,20.0822625900,17.417615,1.347386,2.147976,28.011201
2019-04-02,sh.600285,46.8984926000,22.011457,2.493919,2.465051,16.080124
2019-04-02,sh.600287,24.3755271700,34.611578,1.618811,0.551237,104.854918
2019-04-02,sh.600288,36.0109195500,75.937236,2.990040,1.440207,-31.956785
2019-04-02,sh.600290,34.1595032400,135.026261,1.361201,2.779234,17.103201
2019-04-02,sh.600291,35.8713920700,51.712390,1.261715,0.620942,-1.964869
2019-04-02,sh.600292,20.9698363800,41.141328,1.049099,1.405964,-43.008682
2019-04-02,sh.600293,14.2455833700,16.295428,1.652158,0.537751,-23.522992
2019-04-02,sh.600295,24.1216598700,10.718245,1.086453,0.414821,3.189984
2019-04-02,sh.600297,26.5136086000,10.430313,1.196969,0.254734,-36.269125
2019-04-02,sh.600298,166.1489088000,26.550079,5.298135,3.402033,-533.399902
2019-04-02,sh.600299,28.0374227100,36.400370,2.478345,2.952492,-14.181339
2019-04-02,sh.600300,19.4198857600,71.354126,2.150597,1.186926,22.470443
2019-04-02,sh.600301,9.0739584000,31.282402,5.585023,6.146736,-14.552586
2019-04-02,sh.600305,79.4197154800,30.340372,5.558464,6.466876,244.989396
2019-04-02,sh.600307,7.9020193000,18.485932,1.432828,0.328317,284.474996
2019-04-02,sh.600308,34.6136176200,10.034590,0.939791,0.488746,-37.751375
2019-04-02,sh.600309,1438.9158280500,14.070651,4.645079,2.462752,243.483318
2019-04-02,sh.600310,33.5988536900,65.378320,2.378037,0.375278,-13.238848
2019-04-02,sh.600312,43.6829919600,69.690715,1.370246,1.483020,17.429774
